Website,Number of Color Contrast Issues,Date
foreignassistance.gov,37,28-Dec-17
foreignassistance.gov,37,4-Jan-18
foreignassistance.gov,37,24-Jan-18
foreignassistance.gov,37,10-Feb-18
foreignassistance.gov,37,19-Apr-18
foreignassistance.gov,37,20-May-18
foreignassistance.gov,37,20-May-18
foreignassistance.gov,37,22-May-18
foreignassistance.gov,37,13-Jun-18
foreignassistance.gov,37,15-Jun-18
foreignassistance.gov,37,18-Sep-18
foreignassistance.gov,37,18-Sep-18
foreignassistance.gov,34,23-Oct-18
foreignassistance.gov,34,22-Nov-18
foreignassistance.gov,24,23-Dec-18
foreignassistance.gov,24,24-Jan-19
foreignassistance.gov,34,23-Feb-19
foreignassistance.gov,34,1-Apr-19
foreignassistance.gov,34,18-Apr-19
foreignassistance.gov,34,3-May-19
foreignassistance.gov,34,24-May-19
foreignassistance.gov,34,3-Jun-19
foreignassistance.gov,34,28-Jun-19
foreignassistance.gov,34,28-Jul-19
foreignassistance.gov,34,21-Aug-19
foreignassistance.gov,34,7-Sep-19
foreignassistance.gov,34,21-Sep-19
foreignassistance.gov,34,7-Oct-19
foreignassistance.gov,34,28-Oct-19
foreignassistance.gov,34,15-Nov-19
foreignassistance.gov,34,2-Dec-19
foreignassistance.gov,34,19-Dec-19
foreignassistance.gov,34,3-Jan-20
foreignassistance.gov,34,24-Jan-20
foreignassistance.gov,34,14-Feb-20
foreignassistance.gov,34,26-Feb-20
foreignassistance.gov,34,17-Mar-20
foreignassistance.gov,34,29-Mar-20
foreignassistance.gov,36,15-Apr-20
foreignassistance.gov,36,28-Apr-20
foreignassistance.gov,36,14-May-20
foreignassistance.gov,36,18-Jun-20
foreignassistance.gov,36,30-Jun-20
foreignassistance.gov,36,31-Jul-20
foreignassistance.gov,36,17-Aug-20
foreignassistance.gov,36,2-Sep-20
foreignassistance.gov,36,15-Sep-20
foreignassistance.gov,36,4-Oct-20
foreignassistance.gov,36,16-Oct-20
foreignassistance.gov,36,1-Nov-20
foreignassistance.gov,36,20-Nov-20
foreignassistance.gov,36,6-Mar-22
nrel.gov,1,28-Dec-17
nrel.gov,1,4-Jan-18
nrel.gov,1,24-Jan-18
nrel.gov,1,10-Feb-18
nrel.gov,1,19-Apr-18
nrel.gov,1,20-May-18
nrel.gov,1,20-May-18
nrel.gov,1,22-May-18
nrel.gov,1,13-Jun-18
nrel.gov,1,15-Jun-18
nrel.gov,14,23-Oct-18
nrel.gov,14,22-Nov-18
nrel.gov,14,23-Dec-18
nrel.gov,14,24-Jan-19
nrel.gov,14,23-Feb-19
nrel.gov,14,1-Apr-19
nrel.gov,14,18-Apr-19
nrel.gov,14,3-May-19
nrel.gov,14,24-May-19
nrel.gov,NULL,3-Jun-19
nrel.gov,NULL,28-Jun-19
nrel.gov,11,28-Jul-19
nrel.gov,11,21-Aug-19
nrel.gov,11,7-Sep-19
nrel.gov,11,21-Sep-19
nrel.gov,11,7-Oct-19
nrel.gov,11,28-Oct-19
nrel.gov,11,15-Nov-19
nrel.gov,11,2-Dec-19
nrel.gov,11,19-Dec-19
nrel.gov,11,3-Jan-20
nrel.gov,11,24-Jan-20
nrel.gov,11,14-Feb-20
nrel.gov,11,26-Feb-20
nrel.gov,12,17-Mar-20
nrel.gov,11,29-Mar-20
nrel.gov,11,15-Apr-20
nrel.gov,15,28-Apr-20
nrel.gov,15,14-May-20
nrel.gov,14,18-Jun-20
nrel.gov,14,30-Jun-20
nrel.gov,14,31-Jul-20
nrel.gov,14,19-Aug-20
nrel.gov,14,2-Sep-20
nrel.gov,14,15-Sep-20
nrel.gov,14,4-Oct-20
nrel.gov,14,16-Oct-20
nrel.gov,14,2-Nov-20
nrel.gov,14,20-Nov-20
nrel.gov,14,6-Mar-22
youth.gov,0,28-Dec-17
youth.gov,0,4-Jan-18
youth.gov,0,24-Jan-18
youth.gov,0,10-Feb-18
youth.gov,0,19-Apr-18
youth.gov,0,20-May-18
youth.gov,0,20-May-18
youth.gov,0,22-May-18
youth.gov,0,13-Jun-18
youth.gov,0,15-Jun-18
youth.gov,NULL,24-Oct-18
youth.gov,NULL,22-Nov-18
youth.gov,NULL,23-Dec-18
youth.gov,NULL,24-Jan-19
youth.gov,NULL,23-Feb-19
youth.gov,NULL,1-Apr-19
youth.gov,NULL,19-Apr-19
youth.gov,NULL,3-May-19
youth.gov,NULL,24-May-19
youth.gov,NULL,3-Jun-19
youth.gov,NULL,28-Jun-19
youth.gov,NULL,28-Jul-19
youth.gov,NULL,23-Aug-19
youth.gov,NULL,7-Sep-19
youth.gov,NULL,21-Sep-19
youth.gov,NULL,7-Oct-19
youth.gov,NULL,28-Oct-19
youth.gov,NULL,15-Nov-19
youth.gov,NULL,2-Dec-19
